Customer_ID,Customer_Name,Nationality,Room_Type,Units_Rooms,Days_Booked,Weekend_Days,Arrival_Month,Arrival_Month_Name,Price_Per_Room,Total_Payment,Cancellation,Year
1,Sophie Becker,Germany,family,2,5,1,3,March,2000,20000,0,2023
2,Hans Russo,Norway,couple,1,1,1,9,September,2000,1000,1,2023
3,Sergei Lebedev,Russia,family,2,5,4,6,June,2000,20000,0,2023
4,Sabine Wagner,Italy,single,1,2,2,6,June,2000,4000,0,2023
5,Olga Smirnov,Russia,couple,1,1,0,8,August,2000,2000,0,2023
6,Svetlana Solovyov,Russia,family,1,3,1,2,February,2000,6000,0,2023
7,Klaus Schmidt,France,single,1,4,2,11,November,2000,8000,0,2023
8,Anna Petit,Spain,couple,1,4,4,12,December,2000,8000,0,2023
9,Marie Jansen,Finland,family,1,12,3,1,January,2000,24000,0,2023
10,Anna Schmidt,Germany,couple,2,3,3,7,July,2000,12000,0,2023
11,Jan Robert,Germany,single,1,1,0,9,September,2000,2000,0,2023
12,Olga Solovyov,Russia,family,2,7,0,7,July,2000,14000,1,2023
13,Marie Lopez,Spain,family,2,3,0,2,February,2000,12000,0,2023
14,Kees Russo,Germany,family,2,10,0,5,May,2000,20000,1,2023
15,Andreas Dubois,Norway,family,1,2,2,7,July,2000,4000,0,2023
16,Katarina Morozov,Russia,single,1,1,0,6,June,2000,2000,0,2023
17,Nathalie Bernard,Spain,single,1,5,2,4,April,2000,5000,1,2023
18,Philippe Romano,Italy,couple,2,5,0,2,February,2000,20000,0,2023
19,Igor Smirnov,Russia,couple,2,2,2,10,October,2000,8000,0,2023
20,Irina Kuznetsov,Russia,couple,1,9,0,5,May,2000,18000,0,2023
21,Francesca Colombo,Italy,couple,1,2,2,3,March,2000,4000,0,2023
22,Anna Rossi,Italy,couple,1,2,1,8,August,2000,4000,0,2023
23,Boris Vasiliev,Russia,family,1,13,3,2,February,2000,26000,0,2023
24,Pilar Becker,Denmark,couple,1,4,3,2,February,2000,8000,0,2023
25,Irina Smirnov,Russia,family,1,14,2,9,September,2000,28000,0,2023
26,Olga Novikov,Russia,couple,1,10,3,8,August,2000,20000,0,2023
27,Sophie Johansson,France,couple,1,1,0,6,June,2000,2000,0,2023
28,Giulia Bakker,Norway,couple,1,2,2,10,October,2000,4000,0,2023
29,Michel Weber,Spain,family,1,4,1,12,December,2000,4000,1,2023
30,Klaus Eriksson,Italy,family,1,2,2,9,September,2000,4000,0,2023
31,Marie Ferrari,Denmark,family,2,1,1,9,September,2000,4000,0,2023
32,Anna Durand,Italy,couple,2,13,1,3,March,2000,52000,0,2023
33,Ingrid Garcia,Spain,couple,1,7,0,7,July,2000,14000,0,2023
34,Nathalie Martinez,Germany,family,2,2,2,5,May,2000,8000,0,2023
35,Elena Volkov,Russia,family,1,11,2,6,June,2000,22000,0,2023
36,Giulia Colombo,Spain,couple,2,2,2,7,July,2000,8000,0,2023
37,Pavel Kozlov,Russia,family,1,2,1,5,May,2000,4000,0,2023
38,Lars Larsson,Finland,couple,2,13,0,2,February,2000,52000,0,2023
39,Dmitri Vinogradov,Russia,couple,1,3,1,11,November,2000,6000,0,2023
40,Sophie Dubois,Italy,single,1,5,1,4,April,2000,10000,0,2023
41,Pilar Leroy,Germany,family,1,7,4,5,May,2000,14000,0,2023
42,Pierre Martinez,Germany,couple,1,1,1,9,September,2000,2000,0,2023
43,Alessia Russo,Netherlands,family,2,3,3,7,July,2000,12000,0,2023
44,Sophie Olsson,Spain,couple,1,14,1,10,October,2000,28000,0,2023
45,Olga Lebedev,Russia,couple,1,2,0,4,April,2000,2000,1,2023
46,Erik Bianchi,France,family,1,3,2,8,August,2000,6000,0,2023
47,Ingrid Fischer,Poland,couple,1,8,2,6,June,2000,16000,0,2023
48,Sergei Ivanov,Russia,family,2,6,4,2,February,2000,12000,1,2023
49,Giuseppe Rodriguez,France,couple,1,2,0,4,April,2000,2000,1,2023
50,Nathalie Weber,Netherlands,couple,1,3,3,7,July,2000,6000,0,2023
51,Pavel Golubev,Russia,couple,1,1,1,10,October,2000,2000,0,2023
52,Nils Bianchi,France,single,1,4,3,3,March,2000,8000,0,2023
53,Philippe Nilsson,Germany,couple,1,1,0,1,January,2000,1000,1,2023
54,Carmen Rodriguez,France,couple,1,5,1,1,January,2000,10000,0,2023
55,Lisa Martinez,Finland,couple,1,6,0,9,September,2000,12000,0,2023
56,Ulrike Rossi,Spain,family,2,2,0,2,February,2000,8000,0,2023
57,Mikhail Lebedev,Russia,single,1,6,0,8,August,2000,12000,0,2023
58,Emma van Dijk,Spain,couple,1,4,1,8,August,2000,8000,0,2023
59,Pilar Rossi,Norway,family,2,2,1,6,June,2000,8000,0,2023
60,Emma Janssen,Italy,family,1,2,2,11,November,2000,4000,0,2023
61,Carlos Janssen,France,family,2,1,0,7,July,2000,4000,0,2023
62,Valentina Ricci,Germany,couple,1,1,0,11,November,2000,2000,0,2023
63,Marie Martin,Germany,family,3,5,4,2,February,2000,30000,0,2023
64,Isabel de Jong,Italy,couple,2,8,4,11,November,2000,16000,1,2023
65,Anna Fischer,Czech Republic,single,1,7,4,5,May,2000,14000,0,2023
66,Igor Popov,Russia,family,2,1,0,6,June,2000,4000,0,2023
67,Sophie Dubois,Germany,family,1,4,2,7,July,2000,8000,0,2023
68,Karin Larsson,Denmark,couple,2,5,3,5,May,2000,20000,0,2023
69,Carlos Andersson,Sweden,couple,1,11,2,4,April,2000,22000,0,2023
70,Thomas Garcia,Italy,family,2,9,0,8,August,2000,36000,0,2023
71,Alessia Andersson,France,couple,1,4,4,12,December,2000,8000,0,2023
72,Jose de Vries,Poland,single,1,11,4,12,December,2000,22000,0,2023
73,Sylvie van Dijk,Italy,family,1,5,0,8,August,2000,10000,0,2023
74,Andreas Larsson,Denmark,single,1,2,1,6,June,2000,4000,0,2023
75,Anna Becker,Germany,single,1,4,1,4,April,2000,8000,0,2023
76,Erik van den Berg,Germany,couple,1,1,0,5,May,2000,2000,0,2023
77,Astrid Russo,Spain,single,1,11,4,11,November,2000,22000,0,2023
78,Ingrid Nilsson,Italy,family,1,10,2,1,January,2000,20000,0,2023
79,Antonio Becker,Germany,family,3,1,0,9,September,2000,6000,0,2023
80,Isabelle Fernandez,Sweden,couple,1,1,0,4,April,2000,2000,0,2023
81,Pierre Martinez,Norway,family,3,14,4,7,July,2000,84000,0,2023
82,Andreas Rossi,Netherlands,couple,1,2,0,11,November,2000,4000,0,2023
83,Natasha Volkov,Russia,couple,1,3,3,1,January,2000,6000,0,2023
84,Isabel Wagner,France,family,1,9,3,7,July,2000,18000,0,2023
85,Sophie Esposito,France,single,1,1,0,9,September,2000,2000,0,2023
86,Sophie Jansen,Sweden,family,2,14,1,7,July,2000,56000,0,2023
87,Anna Robert,France,family,1,4,3,5,May,2000,8000,0,2023
88,Ulrike Ricci,Spain,family,1,9,0,4,April,2000,18000,0,2023
89,Astrid Dubois,Czech Republic,couple,1,6,2,2,February,2000,12000,0,2023
90,Olga Pavlov,Russia,single,1,1,1,3,March,2000,2000,0,2023
91,Andreas Andersson,France,family,1,13,4,4,April,2000,26000,0,2023
92,Anastasia Zaytsev,Russia,couple,1,1,0,7,July,2000,2000,0,2023
93,Hans Becker,Denmark,single,1,3,2,1,January,2000,6000,0,2023
94,Giulia Esposito,Spain,single,1,10,4,1,January,2000,20000,0,2023
95,Sergei Ivanov,Russia,couple,2,4,1,9,September,2000,16000,0,2023
96,Catherine Bakker,Netherlands,single,1,1,0,8,August,2000,2000,0,2023
97,Anna Meyer,France,couple,1,3,2,6,June,2000,6000,0,2023
98,Anna de Jong,Netherlands,single,1,5,0,4,April,2000,10000,0,2023
99,Dmitri Semenov,Russia,family,1,6,2,8,August,2000,12000,0,2023
100,Ingrid Martin,Italy,family,1,5,3,3,March,2000,10000,0,2023
101,Sabine Eriksson,Germany,couple,1,3,0,5,May,2000,3000,1,2023
102,Maria Semenov,Russia,couple,1,4,2,2,February,2000,8000,0,2023
103,Nikolai Kozlov,Russia,family,1,1,0,12,December,2000,2000,0,2023
104,Lucia Andersson,Germany,family,2,9,0,7,July,2000,36000,0,2023
105,Carlos Petit,Sweden,family,1,4,4,9,September,2000,8000,0,2023
106,Pilar Olsson,Germany,couple,1,2,2,8,August,2000,4000,0,2023
107,Pavel Novikov,Russia,couple,2,2,2,2,February,2000,8000,0,2023
108,Irina Petrov,Russia,single,1,14,4,8,August,2000,28000,0,2023
109,Larisa Pavlov,Russia,single,1,1,0,6,June,2000,2000,0,2023
110,Manuel Becker,Germany,family,2,13,4,9,September,2000,26000,1,2023
111,Sergei Lebedev,Russia,single,1,7,3,10,October,2000,14000,0,2023
112,Thomas Romano,Sweden,couple,1,1,0,4,April,2000,2000,0,2023
113,Hans Janssen,Denmark,couple,1,6,2,8,August,2000,12000,0,2023
114,Jan Durand,France,couple,1,3,1,7,July,2000,3000,1,2023
115,Kees Durand,Spain,single,1,12,2,5,May,2000,24000,0,2023
116,Andreas Weber,Sweden,couple,1,11,3,12,December,2000,22000,0,2023
117,Nils Karlsson,Netherlands,family,1,2,1,9,September,2000,4000,0,2023
118,Stefan Durand,Germany,family,1,9,3,6,June,2000,18000,0,2023
119,Dmitri Ivanov,Russia,couple,1,7,2,8,August,2000,14000,0,2023
120,Antonio Weber,Germany,couple,1,11,1,11,November,2000,22000,0,2023
121,Isabel Leroy,Italy,couple,1,1,1,7,July,2000,2000,0,2023
122,Nathalie Eriksson,Denmark,family,1,6,0,7,July,2000,12000,0,2023
123,Carmen Petit,France,family,3,12,0,3,March,2000,36000,1,2023
124,Pilar Martin,Norway,single,1,12,2,7,July,2000,24000,0,2023
125,Svetlana Golubev,Russia,couple,2,1,0,3,March,2000,4000,0,2023
126,Ana Leroy,Norway,family,1,4,2,6,June,2000,8000,0,2023
127,Karin Sanchez,France,single,1,1,0,3,March,2000,2000,0,2023
128,Chiara Robert,Germany,family,1,2,1,8,August,2000,4000,0,2023
129,Ingrid Wagner,Poland,single,1,3,3,7,July,2000,6000,0,2023
130,Eva Fernandez,Germany,couple,1,3,3,10,October,2000,6000,0,2023
131,Elena Solovyov,Russia,single,1,4,2,2,February,2000,8000,0,2023
132,Chiara Martinez,France,couple,1,3,1,9,September,2000,6000,0,2023
133,Anna Fischer,Germany,single,1,7,1,4,April,2000,14000,0,2023
134,Erik Nilsson,France,single,1,1,1,10,October,2000,2000,0,2023
135,Lisa Wagner,Italy,couple,1,4,0,9,September,2000,8000,0,2023
136,Stefan Rodriguez,Spain,couple,1,2,1,7,July,2000,4000,0,2023
137,Anna Romano,Poland,family,1,3,2,10,October,2000,6000,0,2023
138,Igor Lebedev,Russia,couple,1,2,0,6,June,2000,4000,0,2023
139,Michel Robert,Sweden,couple,1,3,2,1,January,2000,6000,0,2023
140,Pilar Lopez,Germany,family,1,10,2,11,November,2000,20000,0,2023
141,Mikhail Solovyov,Russia,family,1,11,0,6,June,2000,22000,0,2023
142,Jean Russo,Netherlands,couple,1,2,1,10,October,2000,2000,1,2023
143,Jose Leroy,Italy,single,1,2,2,10,October,2000,4000,0,2023
144,Thomas Lopez,Sweden,couple,1,3,1,10,October,2000,6000,0,2023
145,Olga Kuznetsov,Russia,single,1,11,2,7,July,2000,22000,0,2023
146,Stefan Nilsson,Spain,single,1,11,1,6,June,2000,22000,0,2023
147,Pilar Mueller,France,couple,2,2,0,7,July,2000,8000,0,2023
148,Anna Leroy,Germany,couple,1,7,2,11,November,2000,14000,0,2023
149,Pierre Gonzalez,Poland,single,1,4,1,1,January,2000,8000,0,2023
150,Carmen Sanchez,Italy,single,1,4,4,3,March,2000,8000,0,2023
151,Philippe Rodriguez,France,couple,1,3,0,8,August,2000,6000,0,2023
152,Boris Volkov,Russia,family,2,6,1,2,February,2000,24000,0,2023
153,Alessia Mueller,Sweden,family,2,6,0,3,March,2000,24000,0,2023
154,Alessia Rossi,Norway,family,2,6,0,11,November,2000,24000,0,2023
155,Karin Martinez,Spain,single,1,6,1,7,July,2000,6000,1,2023
156,Isabelle Fernandez,Italy,couple,1,1,0,5,May,2000,1000,1,2023
157,Lars van Dijk,Poland,family,1,10,2,5,May,2000,20000,0,2023
158,Maria Popov,Russia,couple,1,1,1,10,October,2000,2000,0,2023
159,Michel Ferrari,France,couple,1,8,3,9,September,2000,16000,0,2023
160,Philippe Fischer,Spain,family,2,2,2,6,June,2000,4000,1,2023
161,Svetlana Semenov,Russia,single,1,3,3,9,September,2000,3000,1,2023
162,Stefan Bianchi,Germany,family,1,4,0,7,July,2000,8000,0,2023
163,Stefan Fischer,Germany,single,1,3,3,9,September,2000,6000,0,2023
164,Svetlana Zaytsev,Russia,couple,1,2,1,7,July,2000,4000,0,2023
165,Isabel de Vries,Denmark,single,1,1,0,8,August,2000,2000,0,2023
166,Pierre Fischer,Finland,family,1,3,3,10,October,2000,6000,0,2023
167,Isabel Meyer,Denmark,family,2,1,1,11,November,2000,4000,0,2023
168,Jean Weber,Italy,couple,1,1,1,1,January,2000,1000,1,2023
169,Anna Weber,Sweden,family,2,2,0,11,November,2000,4000,1,2023
170,Sergei Volkov,Russia,couple,1,6,2,9,September,2000,12000,0,2023
171,Igor Golubev,Russia,couple,1,5,1,6,June,2000,10000,0,2023
172,Catherine Janssen,Germany,couple,1,10,1,9,September,2000,20000,0,2023
173,Anna Schneider,Italy,single,1,3,2,1,January,2000,6000,0,2023
174,Tatiana Smirnov,Russia,couple,2,1,1,2,February,2000,4000,0,2023
175,Chiara Eriksson,France,couple,1,9,1,7,July,2000,18000,0,2023
176,Kees Bakker,Netherlands,couple,2,2,2,10,October,2000,8000,0,2023
177,Lucia Bianchi,Norway,couple,1,5,3,3,March,2000,10000,0,2023
178,Sylvie Petit,Norway,single,1,9,1,9,September,2000,18000,0,2023
179,Eva Bianchi,Denmark,single,1,5,4,7,July,2000,10000,0,2023
180,Catherine Rossi,Germany,couple,2,6,1,8,August,2000,24000,0,2023
181,Valentina Martin,Sweden,single,1,8,1,6,June,2000,16000,0,2023
182,Eva Nilsson,Germany,single,1,7,3,3,March,2000,14000,0,2023
183,Marco Martinez,Finland,single,1,8,0,7,July,2000,16000,0,2023
184,Giuseppe Weber,Spain,single,1,10,4,6,June,2000,20000,0,2023
185,Andreas Martinez,Italy,couple,1,9,2,4,April,2000,18000,0,2023
186,Tatiana Golubev,Russia,couple,2,1,0,3,March,2000,4000,0,2023
187,Ingrid Weber,Spain,couple,1,6,2,4,April,2000,6000,1,2023
188,Olga Sokolov,Russia,couple,2,3,2,12,December,2000,12000,0,2023
189,Isabel Rossi,France,couple,1,7,1,4,April,2000,14000,0,2023
190,Sabine Colombo,Spain,couple,2,4,3,3,March,2000,16000,0,2023
191,Thomas Leroy,Sweden,family,2,8,2,9,September,2000,32000,0,2023
192,Giulia Ferrari,Denmark,family,1,4,0,7,July,2000,8000,0,2023
193,Pierre Lopez,Italy,couple,1,6,4,4,April,2000,12000,0,2023
194,Pilar Esposito,Germany,couple,1,1,1,6,June,2000,1000,1,2023
195,Emma Nilsson,Netherlands,couple,1,13,0,1,January,2000,26000,0,2023
196,Natasha Petrov,Russia,couple,2,1,1,6,June,2000,4000,0,2023
197,Eva van Dijk,Germany,family,3,1,0,2,February,2000,6000,0,2023
198,Vladimir Kuznetsov,Russia,single,1,3,1,12,December,2000,6000,0,2023
199,Sabine Rossi,Spain,family,1,6,2,3,March,2000,12000,0,2023
200,Petra Wagner,Italy,couple,1,2,1,8,August,2000,4000,0,2023
201,Emma van Dijk,Italy,couple,1,5,1,9,September,2000,10000,0,2023
202,Mikhail Kozlov,Russia,single,1,3,1,2,February,2000,6000,0,2023
203,Vladimir Vinogradov,Russia,family,1,13,3,9,September,2000,26000,0,2023
204,Philippe Romano,France,single,1,1,1,8,August,2000,2000,0,2023
205,Philippe Larsson,Czech Republic,family,2,2,2,4,April,2000,8000,0,2023
206,Viktor Pavlov,Russia,family,1,13,1,9,September,2000,26000,0,2023
207,Carmen Rossi,Germany,couple,2,1,0,7,July,2000,4000,0,2023
208,Boris Smirnov,Russia,couple,1,5,3,6,June,2000,10000,0,2023
209,Sophie Fernandez,Italy,family,1,5,4,9,September,2000,10000,0,2023
210,Nathalie Schneider,Netherlands,family,1,2,1,7,July,2000,4000,0,2023
211,Alexei Morozov,Russia,couple,1,3,1,7,July,2000,6000,0,2023
212,Ingrid Martin,Italy,single,1,3,0,6,June,2000,6000,0,2023
213,Viktor Volkov,Russia,couple,1,3,2,6,June,2000,6000,0,2023
214,Larisa Semenov,Russia,single,1,4,1,8,August,2000,8000,0,2023
215,Nils Fernandez,France,couple,2,2,1,3,March,2000,8000,0,2023
216,Jan Mueller,Netherlands,couple,1,9,3,6,June,2000,18000,0,2023
217,Petra Weber,Italy,couple,1,14,0,7,July,2000,14000,1,2023
218,Mikhail Semenov,Russia,single,1,4,4,2,February,2000,8000,0,2023
219,Klaus Ricci,Italy,couple,1,4,2,1,January,2000,4000,1,2023
220,Kees van Dijk,Spain,family,1,4,1,5,May,2000,8000,0,2023
221,Mikhail Solovyov,Russia,single,1,1,1,4,April,2000,2000,0,2023
222,Sabine Schneider,Poland,single,1,6,4,12,December,2000,12000,0,2023
223,Marco Ricci,Spain,family,1,1,1,8,August,2000,2000,0,2023
224,Karin Schneider,Italy,single,1,12,3,8,August,2000,24000,0,2023
225,Francesca Petit,Spain,couple,1,1,1,3,March,2000,2000,0,2023
226,Erik Leroy,Germany,family,3,7,4,7,July,2000,42000,0,2023
227,Eva Wagner,Norway,couple,1,6,1,9,September,2000,12000,0,2023
